NAZIV PROIZVODA,ŠIFRA PROIZVODA,MARKA PROIZVODA,NETO KOLIČINA,JEDINICA MJERE,MALOPRODAJNA CIJENA,CIJENA ZA JEDINICU MJERE,MPC ZA VRIJEME POSEBNOG OBLIKA PRODAJE,NAJNIŽA CIJENA U POSLJEDNIH 30 DANA,SIDRENA CIJENA NA 2.5.2025,BARKOD,KATEGORIJA PROIZVODA
NEG PIĆE BAZGA LIM JUICY FRUITS 1.5L,90890431,JUICY FRUITS,1.50 l,ko,1.69,1.13,,1.39,1.69,3858890978360,PIĆE
DET PERSIL UNIVERSAL 60 TAB,90904719,PERSIL,59.99 kg,ko,13.99,0.23,,13.99,13.99,9000101830910,SREDSTVA ZA ČIŠĆENJE
GIN CASTLE 0.7L ,90675742,CASTLE,0.70 l,ko,5.75,8.21,,5.75,5.75,3850164243525,PIĆE
POLLEO SHAKER LOGO LIGHT BLUE 0.6L,90678265,POLLEO,0.60 l,ko,3.49,5.82,,3.49,3.49,3856026804699,HRANA
LEĆA GARDEN GOOD 240g,90682707,GARDEN GOOD,0.24 kg,ko,0.89,3.71,,0.89,0.89,3850334028327,HRANA
OM VIOLETA ORIGINAL 1.71L,90699049,VIOLETA,1.71 l,ko,4.55,2.66,,2.99,4.55,3870128034594,SREDSTVA ZA ČIŠĆENJE
STICK NIVEA M FRESH KICK 50ML,90699144,NIVEA,0.05 l,ko,,63.8,3.19,3.95,5.29,9005800352237,KOZMETIKA
NEKTAR MOJ DAN NARANČA 1L ,90699263,MOJ DAN,1.00 l,ko,1.15,1.15,,1.15,1.15,3850334028112,PIĆE
VAFL FRONDI KAKAO MLIJEKO 225g KRAŠ,90702863,FRONDI,0.23 kg,ko,2.59,11.51,,1.99,2.59,3850102007547,HRANA
SET BIOBAZA BOTANIKA ROSARY,90704134,BIOBAZA,1.00 ko,ko,,7.48,7.48,9.99,9.99,3856020912413,KOZMETIKA
SLAD LEDO M6 NJOFRA 6x65ml,90704209,LEDO,0.39 l,ko,5.99,15.36,,4.79,5.99,3850116056869,HRANA
ČIPS HRUSTY PAPRIKA RR 150g,90705053,HRUSTY,0.15 kg,ko,1.15,7.67,,1.15,1.15,3850334009807,HRANA
KRUH CORNY PAK 450g MLINAR,90706781,MLINAR,0.45 kg,ko,,3.98,1.79,1.79,1.79,3858881124387,HRANA
PISTACIJA PEČENA U LJUSCI 300g,90707164,MARJAN VOĆE,0.30 kg,ko,6.19,20.63,,4.29,5.99,3872084015358,HRANA
KUKURUZ ŠEĆ GARDEN GOOD 3x170/3x140g,90707333,GARDEN GOOD,0.42 kg,ko,2.69,6.4,,2.69,2.69,8605028600052,HRANA
SALV PALOMA BOŽIĆ PINK 33X33 20/1,90726741,PALOMA,1.00 ko,ko,2.29,2.29,,2.29,2.29,3838952034531,PROIZVODI ZA KUĆANSTVO
MJEŠAVINA PROVANSA 400G,90730629,LEDO,0.40 kg,ko,,5.88,2.35,2.35,2.99,3850116059785,HRANA
SAPUN L'ANGELICA PAMUK 80g,90730760,L ANGELICA,0.08 kg,ko,1,12.5,,1,1,8017331093689,KOZMETIKA
BOMBON KIS TRAKE RAINBOW 9g VIDAL,90732117,VIDAL,0.01 kg,ko,0.19,21.11,,0.19,0.19,8413178163347,HRANA
ČIPS PRINGLES SOUR CR&ONION XXL 185g,90732277,PRINGLES,0.19 kg,ko,3.49,18.86,,1.99,3.49,5053990167845,HRANA
MARIN PILE S BUČINIM SJEMENKAMA CCA1.6kg,90733825,MEĐIMURSKO PILE,1.00 kg,kg,4.99,4.99,,4.99,4.99,3850220408622,HRANA
ŠAMPON DAISY KOPRIVA 1L,90735068,DAISY,1.00 l,ko,1.19,1.19,,1.19,1.19,3850334073259,KOZMETIKA
OM SILAN FRESH SKY 1.408L,90744995,SILAN,1.41 l,ko,,1.98,2.79,2.79,2.79,9000101801125,SREDSTVA ZA ČIŠĆENJE
OCAT BALZAMSKI BIJELI SPICE CHEF 0.5L,90749785,SPICE CHEF,0.50 l,ko,2.15,4.3,,2.15,2.15,3850334072146,HRANA
NAMAZ FINESSE MILK 400 g,90749843,FINESSE,0.40 kg,ko,2.65,6.63,,2.65,2.65,3838900834688,HRANA
MY PETS SP GOVEDINA 3 kg,90750490,MY PETS,3.00 kg,ko,3.99,1.33,,3.99,3.99,3850334106438,PROIZVODI ZA KUĆANSTVO
ČIPI ČIPS NAVIJAČ SLANI REBR 120 g,90751053,ČIPI ČIPS,0.12 kg,ko,2.19,18.25,,1.89,2.19,3856021306624,HRANA
DESERT NESTLE GRIZ VANILIJA 4X100 g,90759694,NESTLE,0.40 kg,ko,3.59,8.98,,3.59,3.59,7613034515667,HRANA
BISKVIT ČOK BOMBONČIĆI 2/1 50 g MR BROWNIE,90764712,MR BROWNIE,0.05 kg,ko,0.99,19.8,,0.79,0.99,8411037892469,HRANA
VL MARAMICE NIVEA SOFT&CREAM 57/1,90764773,NIVEA,57.01 ko,ko,,0.05,3.03,3.79,3.79,9005800374406,TOALETNE POTREPŠTINE
SLAD LEDO PLAZMA CHEESECAKE 100 ml,90764895,LEDO,0.10 l,ko,2,20,,2,2,3850116064260,HRANA
ČIPS CHIO SLANI 130 g,90764968,CHIO,0.13 kg,ko,2.19,16.85,,1.79,2.19,3856021306686,HRANA
ŠAMP I KUP SEPTONA BABY BOYS 500ml,90765171,SEPTONA,0.50 l,ko,4.99,9.98,,4.99,4.99,5201410220650,KOZMETIKA
DRESSING BALSAMICO 230 ml DEVELEY,90770157,DEVELEY,1.00 ko,ko,2.49,2.49,,1.74,2.49,4006824003698,HRANA
TALIANETTA TJEST MILANEZE 155g PODRAVKA,90770354,PODRAVKA,0.16 kg,ko,2.49,16.06,,1.59,2.49,3856020269340,HRANA
MC MP SVINJ KRUMPIR GRAŠAK PATE 150 g,90774810,MIGLIOR,0.15 kg,ko,,6.53,0.98,1.25,1.25,8007520027274,PROIZVODI ZA KUĆANSTVO
BOJA CAMELEO 3.1 CRNO SMEĐA 40 ml,90775470,CAMELEO,0.04 l,ko,1.35,33.75,,1.35,1.35,5901350421260,KOZMETIKA
PIVO KLAAS GREJP 0.5L LIM ,90775716,KLAAS,0.50 l,ko,0.85,1.7,,0.75,0.75,3850334113740,PIĆE
ENER NAP PROGAME VIŠNJA 0.33 L,90784769,PROGAME,0.33 l,ko,0.99,3,,0.99,0.99,3856028500438,PIĆE
SRED SANYTOL DEZINF RUBLJA 1 L,90785287,SANYTOL,1.00 l,ko,6.25,6.25,,6.25,6.25,3045206360609,SREDSTVA ZA ČIŠĆENJE
KEČAP BLAGI 310g PODRAVKA,90794909,PODRAVKA,0.31 kg,ko,1.49,4.81,,1.49,1.49,3856020273880,HRANA
METLA UNUTARNJA DRŠKA CS,90799926,CLEAN SMART,1.00 ko,ko,4.69,4.69,,3.28,4.69,3859893097218,PROIZVODI ZA KUĆANSTVO
VREĆA SMEĆE MD VEZ LAV 35 L 15/1 DAX,90800103,DAX,15.00 ko,ko,0.99,0.07,,0.79,0.99,3850334101594,PROIZVODI ZA KUĆANSTVO
VINO SAUVIG BLANC SANTA LUCIA 0.75 l,90800268,SANTA LUCIA,0.75 l,ko,5.55,7.4,,3.99,3.99,7804661040718,PIĆE
NEG PIĆE LIMUNADA VINDI 1.5 l,90800806,VINDI,1.50 l,ko,1.79,1.19,,1.79,1.79,3850108072365,PIĆE
VINO VRANAC CARSKO 5 L PET,90814788,CARSKO,5.00 l,ko,9.99,2,,9.99,9.99,3859894110299,PIĆE
VINO ZINFANDEL TOUCH 0.75L,90814832,TOUCH,0.75 l,ko,6.05,8.07,,6.05,6.05,3859893289767,PIĆE
ČIPS SPECIAL MOMENTS TARTUFI 100g,90825464,SPECIAL MOMENTS,0.10 kg,ko,1.19,11.9,,0.83,1.19,3850334429117,HRANA
PROTEIN ZOE WHEY FRENCH VANILA 454 g,90839915,ZOE,0.45 kg,ko,24.99,55.04,,24.99,24.99,3856026707280,HRANA
BOMBON ŽELE VOĆNI MIX 200 g ROSHEN,90840031,ROSHEN,0.20 kg,ko,1.49,7.45,,1.49,1.49,4823077602801,HRANA
SUHI ŠAMPON GOT2B EX FRESH 200 ml,90850140,GOT2B,0.20 l,ko,,28.45,5.69,7.99,7.99,9000101043211,KOZMETIKA
TARALLI DULCETTI MEDITERRANEO 300 g,90851039,DULCETTI,0.30 kg,ko,,4.97,1.49,1.79,1.79,3850334431301,HRANA
RAJČICA PELAT GARDEN GOOD 800/480 g,90854740,GARDEN GOOD,0.48 kg,ko,2.09,4.35,,2.09,2.09,3838900843185,HRANA
VINO GRAŠEVINA 1 L,90874762,VINOLOG,1.00 l,ko,5.29,5.29,,5.29,5.29,3859894187260,PIĆE
GEL ZA BRIJANJE MAN MAX 200ml,90051019,MAN MAX,0.20 l,ko,2.25,11.25,,2.25,2.25,3850334333636,KOZMETIKA
ONE SM STERIL MESO 800G,90052139,ONE,0.80 kg,ko,5.69,7.11,,3.99,5.69,8445290246813,PROIZVODI ZA KUĆANSTVO
BOŽIĆNA PURETINA SVJ -POLOVICA VINDIJA,90054102,VINDON,1.00 kg,kg,6.99,6.99,,6.99,6.99,3850339407073,HRANA
VODICA LISTERINE TOTAL CARE 250ml,90056395,LISTERINE,0.25 l,ko,4.99,19.96,,4.99,4.99,3574660415483,KOZMETIKA
BOJA SYOSS OLEO 6-10 TAMNO PLAVA,90059992,SYOSS OLEO,1.00 ko,ko,,6.49,6.49,6.49,7.99,9000100814645,KOZMETIKA
DESERT TWIX 50g,90063465,MARS,0.05 kg,ko,1.09,21.8,,0.87,1.09,5900951313592,HRANA
NEG PIĆE FIS NARANČA 2L,90082618,FIS,2.00 l,ko,1.89,0.95,,1.39,1.89,3850108072846,PIĆE
POSL KEKS SENDVIĆ PSI 500g HOBBY DOG,90090430,HOBBY,0.50 kg,ko,3.59,7.18,,3.59,3.59,3838964270248,PROIZVODI ZA KUĆANSTVO
AMERIČKI BURGER 600g PIK,90094874,PIK VRBOVEC,0.60 kg,ko,6.89,11.48,,4.82,6.89,3850139435498,HRANA
BUDDY SP MINI PIL RIŽA 2kg,90138599,BUDDY,2.00 kg,ko,3.99,2,,3.19,3.99,3850334400000,PROIZVODI ZA KUĆANSTVO
ČAJ BEBIVITA JAB/MAT 6MJ+ 200g,90142199,BEBIVITA,0.20 kg,ko,3.45,17.25,,3.45,3.45,9007253102964,PIĆE
PAŠTETA JETRENA K PLUS 50g,90153729,K PLUS,0.05 kg,ko,0.5,10,,0.5,0.5,3850334529916,HRANA
KREMA NIVEA MEN 75ML,90156872,NIVEA,0.08 l,ko,,43.73,3.28,3.49,4.69,9005800239989,KOZMETIKA
JUHA KREM OD RAJČICE 60g PODRAVKA,90160140,PODRAVKA,0.06 kg,ko,1.39,23.17,,1.09,1.39,3850104274619,HRANA
TP NATUR PREMIUM 160L 4SL 10/1,90184664,NATUR,10.00 ko,ko,4.19,0.42,,4.19,4.19,3850334614643,TOALETNE POTREPŠTINE
PAŠTETA PIKETA PIKANT PILEĆA 95g AL,90187620,PIKETA,0.10 kg,ko,1.19,12.53,,0.79,1.19,3850104279843,HRANA
MASLINE ZELENE OTKOŠT 650g/320g PODR,90187764,PODRAVKA,0.32 kg,ko,4.69,14.66,,3.49,4.69,3850104279300,HRANA
MLIJEKO KONDENZIRANO NESTLE 397g,90202016,NESTLE,0.40 kg,ko,4.19,10.55,,4.19,4.19,8715000014026,HRANA
VRHNJE K PLUS ZA KUH 200G 20%,90229967,K PLUS,0.20 kg,ko,1.05,5.25,,1.05,1.05,3850334585523,HRANA
KULEN 330G PIK MA,90232137,PIK VRBOVEC,0.33 kg,ko,,17.24,5.69,7.99,7.99,3850139050028,HRANA
VINO CRNO PLAVAC 1L PUTNIKOVIĆ,90236008,PUTNIKOVIĆ,1.00 l,ko,4.89,4.89,,4.89,4.89,3859889291071,PIĆE
ADVENTUROS NUGGETS 90G,90240559,ADVENTUROS,0.09 kg,ko,2.19,24.33,,1.59,2.19,7613035516311,PROIZVODI ZA KUĆANSTVO
DŽEM SMOKVA BAKINA TAJNA 375G,90258836,BAKINA TAJNA,0.38 kg,ko,4.79,12.77,,4.79,4.79,8600103131551,HRANA
NEG PIĆE COCKTAIL MAND-NAR 2L,90270326,VINDI,2.00 l,ko,1.99,1,,1.99,1.99,3850108072815,PIĆE
HRANA ZA ZLATNE RIBE GOLD 100ML,90280091,VITAKRAFT,0.10 kg,ko,2.79,27.9,,2.19,2.79,4008239598097,PROIZVODI ZA KUĆANSTVO
ZP MAX WHITE SHINE 125ml,90280232,COLGATE,0.13 l,ko,2.99,23.92,,2.29,2.99,8718951312845,KOZMETIKA
DESERT MARS 51g,90297802,MARS,0.05 kg,ko,1.09,21.37,,0.87,1.09,5900951311321,HRANA
JUN SL I LEĐA SK BB MARTINJAK  MHF,90308784,,1.00 kg,kg,10.99,10.99,,10.99,10.99,3859893702402,HRANA
VINO PLAVAC DE MAR 0.75L,90311410,ISTRAVINO,0.75 l,ko,4.69,6.25,,4.69,4.69,3858882610865,PIĆE
PDX PASTA ZA ZUBE COMPL PROTEC EX FRESH 75ml,90311861,PARODONTAX,0.08 l,ko,6.99,93.2,,6.99,6.99,5054563948403,KOZMETIKA
PEL KUPANJE PAMPERS 5 14+kg 10/1,90316314,PAMPERS,10.00 ko,ko,8.76,0.88,,8.76,8.76,8001090728951,TOALETNE POTREPŠTINE
LINZER VIŠNJA 500g K PLUS,90320621,K PLUS,0.50 kg,ko,3.99,7.98,,3.99,3.99,3850334325860,HRANA
TORTILLA  25cm 6/1 370g MEXIFOODS,90324778,MEXIFOODS,0.37 kg,ko,2.65,7.16,,1.89,1.89,8422424100159,HRANA
ZP SENSOD FLUOR DUO PACK 75ml X2,90324878,SENSODYNE,0.15 l,ko,4.99,33.27,,4.99,4.99,5054563078124,KOZMETIKA
VEGETA NATUR VR 75g PODRAVKA,90331815,VEGETA,0.08 kg,ko,1.49,19.87,,1.49,1.49,3850104257933,HRANA
KAŠICA FRUTEK BRESKVA JOGURT 100g,90335483,FRUTEK,0.10 kg,ko,,11.9,1.19,1.19,1.39,3838945035019,HRANA
CHIA SJEMENKE 750g NUMBERS ARE GOOD,90344551,POLLEO,0.75 kg,ko,9.99,13.32,,9.99,9.99,3859893008719,HRANA
PROTEIN 1ST WHEY 454g COOKIES & CREAM,90345171,POLLEO,0.45 kg,ko,21.99,48.44,,21.99,21.99,3858892293324,HRANA
MJEŠ ZAČ ŠPAGETI BOLOGN 50g MAGGI,90348981,MAGGI,0.05 kg,ko,1.49,29.8,,1.49,1.49,7613287110251,HRANA
KEKS PIŠKOTE DULCETTI 400g,90356870,DULCETTI,0.40 kg,ko,1.75,4.38,,1.49,1.75,3838900842331,HRANA
DEKOR MIX ČOKOLADA 160g RUF,90360070,RUF,0.16 kg,ko,4,25,,3.43,4.29,4002809026133,HRANA
MLIJEKO OLEA SPF15 200ml,90360460,OLEA,0.20 l,ko,5.19,25.95,,5.19,5.19,3850334153722,KOZMETIKA
 SOK 100% MULTIVITAMIN JUICY 1L,90361250,JUICY,1.00 l,ko,2.39,2.39,,2.19,2.39,3858890977349,PIĆE
GEL ZA BRIJANJE SENS CARE 200ml,90362388,VENUS,0.20 l,ko,,21.15,4.23,4.19,4.19,7702018012466,KOZMETIKA
GAZ PIĆE COCKTA FREE 0.5L,90362850,COCKTA,0.50 l,ko,1.15,2.3,,1.15,1.15,3838471037051,PIĆE
TIJESTO ŠKOLJKE PIR ZP 350g,90363635,ZLATO POLJE,0.35 kg,ko,1.79,5.11,,1.79,1.79,3838700010381,HRANA
SIR TVRDI KRAVLJI KOLUT DŽIUGAS,90370542,DŽIUGAS,1.00 kg,kg,13.27,13.27,,10.99,13.27,,HRANA
LIKER CAMPARI 0.7L,90380765,CAMPARI,0.70 l,ko,20.69,29.56,,20.69,20.69,8000040001106,PIĆE
KAŠ HIPP BIO BAN I KRUŠ S MANG 100g,90385456,HIPP,0.10 kg,ko,1.35,13.5,,1.05,1.35,9062300133766,HRANA
PURICA BOŽIĆNA 2.5kg AIA,90386429,AIA,1.00 kg,kg,4.49,4.49,,4.49,4.49,,HRANA
ČAJ MAJČINA DUŠICA 40G,90404282,SUBAN,0.04 kg,ko,,49.5,1.98,2.39,2.65,3858882912389,HRANA
RAKIJA MEDICA V DEGENIJA 1L,90404787,DEGENIJA,1.00 l,ko,10.99,10.99,,10.99,10.99,3859889693240,PIĆE
VINO PLAVAC MALI MILATIĆ 0.75l,90405550,OPG IVO MILATIĆ,0.75 l,ko,6.55,8.73,,6.55,6.55,3857500048202,PIĆE
GEL TUŠ MELEM BUDI MELEM 260 ml,90885736,MELEM,1.00 ko,ko,3.99,3.99,,3.19,3.99,3856007912924,KOZMETIKA
ČETKICA ORAL B PRO 3D WHITE,90885818,ORAL B,1.00 ko,ko,,2.99,2.99,3.99,3.99,8700216459518,KOZMETIKA
KOMPOT BRESKVA REZ 820/490 g EXCELS,90886696,EXCELSIOR,0.49 kg,ko,2.99,6.1,,2.99,2.99,9001397506121,HRANA
ČOKOLADA MILKA LOTUS BISCOFF 190 g,90889948,MILKA,0.19 kg,ko,4.49,23.63,,4.49,4.49,7622202305337,HRANA
CRISPY POH CLASSIC 70 g KOTANYI,90890044,KOTANYI,0.07 kg,ko,,17,1.19,1.89,1.89,9001414338018,HRANA
NEKTAR JABUKA NARANČA TO 2 L,90890082,TO,2.00 l,ko,2.59,1.3,,2.59,2.59,3858890977998,PIĆE
RETOUCHER SC ROOT SMEĐA 120ML,90281691,SYOSS RETUOCHER,0.12 l,ko,,47.4,5.69,6.99,6.99,9000101052978,KOZMETIKA
KREMA DJEČJA JGL PANTHENOL 50g,90733312,JGL,0.05 kg,ko,,93.6,4.68,,,3858891013176,KOZMETIKA
GEL GILL FUS ULTRA SENS 200ml,90324310,GILLETTE,0.20 l,ko,,25.95,5.19,6.49,5.19,7702018617098,KOZMETIKA
BALZAM USNE L'ANG LINFA N 4.8g,90572254,L ANGELICA,1.00 ko,ko,,1.58,1.58,,,8017331077498,KOZMETIKA
BOJA SYOSS 8/7 MED PLAVA,06544294,SYOSS,1.00 ko,ko,,5.69,5.69,6.99,5.59,9000100633260,KOZMETIKA
PROTEIN ME FIRST WHEY 908g STRAWBERR,90400482,POLLEO,0.91 kg,ko,,30.83,27.99,34.99,34.99,3858892293942,HRANA
ŠAMPON SCHAUMA REG/NJEGA 250ml,06521190,SCHAUMA,0.25 l,ko,,10.76,2.69,3.39,3.39,3838824136394,KOZMETIKA
BOJA SYOSS 12-53 PLATIN BISER PLAVA,90775221,SYOSS,1.00 ko,ko,,5.69,5.69,6.99,5.59,9000101731989,KOZMETIKA
ŠAMPON GLISS SPLIT MIRAC 250ml,90484076,GLISS,0.25 l,ko,,11.96,2.99,4.79,2.99,9000101287332,KOZMETIKA
BRIJAČ GILLETTE FUSION+5 PATRONA  ,90805002,GILLETTE,1.00 ko,ko,,23.19,23.19,28.99,23.19,8700216356794,KOZMETIKA
SIR TVRDI U TERANU  1/4 ŠPIN,90091915,ŠPIN,1.00 kg,kg,,25.38,25.38,,,3858881194236,HRANA
BOJA SYOSS 4/2 MAHAGONIJ SMEĐA,06544306,SYOSS,1.00 ko,ko,,5.69,5.69,6.99,5.59,9000100632867,KOZMETIKA
DET VESH WHITE GEL 1L= 20PRANJA,90714261,VESH,1.00 l,ko,7.15,7.15,,7.15,7.15,3870128033917,SREDSTVA ZA ČIŠĆENJE
ČIPS LAY'S OVEN BAKED JOGURT 110g,90720105,PEPSICO,0.11 kg,ko,2.59,23.55,,2.59,2.59,5900259128843,HRANA
BRIJAČ JEDNOK M BIC ACTION 3 4+2,90725085,BIC,6.00 ko,ko,,0.5,2.99,3.99,3.99,3086123399327,KOZMETIKA
BUDDY MP MINI GOV JET 300g,90725767,BUDDY,0.30 kg,ko,0.99,3.3,,0.75,0.99,3850334043689,PROIZVODI ZA KUĆANSTVO
NJOKI MINUTE 500g KADICA,90725828,MINUTE,0.50 kg,ko,1.39,2.78,,1.09,1.09,3850334044792,HRANA
TJESTENINA BOLOGNESE 160g MINUTE,90730515,MINUTE,0.16 kg,ko,1.69,10.56,,1.29,1.69,3850334063267,HRANA
NEKTAR VINDI DISNEY BOROV +VIT. 0.2L,90731579,VINDI,0.20 l,ko,0.75,3.75,,0.75,0.75,3850108078176,PIĆE
LEDENI ČAJ BRESKVA VINDI 1.5L,90732622,VINDI,1.50 l,ko,1.75,1.17,,1.75,1.75,3850108071801,PIĆE
MIX JACOBS 2U1 XXL 20/1 280g,90733415,JACOBS,0.28 kg,ko,4,14.29,,4,4,3858893905837,HRANA
LIP BALM K PLUS OLEA NATURAL 4.8g,90735118,OLEA,0.01 kg,ko,1.09,227.08,,1.09,1.09,3850334071170,KOZMETIKA
GRAH POVRTNI MINUTE 400g,90735135,MINUTE,0.40 kg,ko,2.69,6.73,,2.69,2.69,3850334070302,HRANA
KAKAO LUMPI VREĆICA 350g,90739658,LUMPI,0.35 kg,ko,2.19,6.26,,2.19,2.19,3850334072450,HRANA
ČIPS HRUSTY PAPRIKA RR MAXX 280 g,90745912,HRUSTY,0.28 kg,ko,1.59,5.68,,1.59,1.59,8605028610716,HRANA
NAMAZ FINESSE LJEŠNJAK 400 g,90749832,FINESSE,0.40 kg,ko,2.65,6.63,,2.65,2.65,3838900834626,HRANA
DESERT KINDER PINGUI TREŠNJA 4x30 g,90750155,FERRERO,0.12 kg,ko,2.39,19.92,,2.39,2.39,8000500373729,HRANA
TUBA NAT GERBER KRUŠKA ŠLJIVA 90 g,90759685,GERBER,0.09 kg,ko,1.39,15.44,,1.11,1.39,8445290359865,HRANA
TUBA NAT GERBER JAB BAN JAG 90 g,90759687,GERBER,0.09 kg,ko,1.39,15.44,,1.11,1.39,8445290256539,HRANA
PAPAR CRNI ZRNO 50 g SPICE CHEF,90770547,SPICE CHEF,0.05 kg,ko,0.99,19.8,,0.69,0.69,3850334100948,HRANA
SCHOKINO OBLAK 485g DR OETKER,90770744,DR OETKER,0.49 kg,ko,3.85,7.94,,3.85,3.85,4000521009113,HRANA
ZP SIGNAL EXTRA FRESH INTENSE 75 ml,90774686,SIGNAL,0.08 l,ko,3.29,43.86,,2.29,2.29,8720181437243,KOZMETIKA
MC SP MINI PIL GRAŠAK 800 g,90774725,MIGLIOR,0.80 kg,ko,,3.73,2.98,3.59,3.59,8007520027106,PROIZVODI ZA KUĆANSTVO
MASKA BOTANIC THERAPY RICINUS 340 ml,90774944,BOTANIC THERAPY,0.34 l,ko,,13.79,4.69,6.29,6.29,3600542509954,KOZMETIKA
BOJA ZA OBRVE SYOSS SVIJETLO SMEĐA,90775238,SYOSS,1.00 ko,ko,12.99,12.99,,10.99,12.99,9000101715668,KOZMETIKA
ZP PHYTODENT PROTECT&SMILE 75 ml,90775602,PLIDENTA,0.08 l,ko,3.59,47.87,,2.49,3.59,3856007911798,KOZMETIKA
NAMAZ NUTELLA 1000 g,90779758,NUTELLA,1.00 kg,ko,7.49,7.49,,7.49,7.49,8000500082379,HRANA
NEKTAR VINDI JAGODA 1 L,90784841,VINDI,1.00 l,ko,2.79,2.79,,1.59,2.79,3850108078695,PIĆE
SOMAT GEL EXCELLENCE 2X684ml,90785216,SOMAT,1.37 kg,ko,,10.59,14.49,14.49,14.49,9000101819502,SREDSTVA ZA ČIŠĆENJE
SLAD TWIX PRUTIĆ 6X43.1 ml,90795128,TWIX,0.21 kg,ko,5.49,26.74,,5.49,5.49,5000159484695,HRANA
ROVUS WINDOW CLEANER,90795595,ROVUS,1.00 ko,ko,,6.68,6.68,5.99,7.99,3858894408559,PROIZVODI ZA KUĆANSTVO
SALV PALOMA BOŽIĆ WREAT 33X33 20/1,90800086,PALOMA,20.00 ko,ko,2.29,0.11,,2.29,2.29,3838952035545,PROIZVODI ZA KUĆANSTVO
BISKVIT MUFFIN MRAMORNI 10/1 250 g,90800476,DELASHERAS,0.25 kg,ko,2.99,11.96,,2.99,2.99,8410722532505,HRANA
VINO VRANAC CARSKO 2 L PET,90814796,CARSKO,2.00 l,ko,4.39,2.2,,4.39,4.39,3859892866839,PIĆE
OKRUGLICE OD KRUMPIRA 500 g NOISETTES,90825006,LEDO,0.50 kg,ko,2.99,5.98,,2.99,2.99,3850116065793,HRANA
ČOKOLADA DORINA EXTRA MILK 220g,90825646,DORINA,0.22 kg,ko,4.49,20.41,,3.49,4.49,3850102012930,HRANA
ULJE BUČINO SPECIAL MOMENTS 0.25L,90825706,SPECIAL MOMENTS,0.25 l,ko,5.99,23.96,,5.99,5.99,3850334428592,HRANA
SET GILLETTE M3+GEL 200 ml,90826342,GILLETTE,1.00 ko,ko,8,8,,8,8,8700216566469,KOZMETIKA
SIR TV KRAVLJI TARTUFI 230 g SPEC MOM,90829934,SPECIAL MOMENTS,0.23 kg,ko,7.99,34.74,,6.29,7.99,3850334430847,HRANA
WANPY CAT ADVENTSKI KALENDAR 150 g,90834959,WANPY,0.15 kg,ko,0.5,3.33,,0.5,0.5,6927749811572,PROIZVODI ZA KUĆANSTVO
KREMA RUKE BIOBAZA FROSTED 50 ml,90839853,BIOBAZA,0.05 l,ko,,44.8,2.24,2.99,2.99,3856020915735,KOZMETIKA
FEFERONI BLAGI 280 g/130 g GURMANO,90849984,GURMANO,0.13 kg,ko,3.49,26.85,,3.49,3.49,5319991599468,HRANA
DET VESH WHITE POWER 3 kg=40PR,90854984,VESH,3.00 kg,ko,11.85,3.95,,11.85,11.85,3870128037021,SREDSTVA ZA ČIŠĆENJE
FELIX MM JUHA RIBA 6X48 g,90864723,FELIX,0.29 kg,ko,2.99,10.38,,2.39,2.99,8445291612433,PROIZVODI ZA KUĆANSTVO
MUESLI DATULJA I MATICHA 350 g OPLAN,90869770,OPLANT,0.35 kg,ko,3.99,11.4,,3.99,3.99,3856020274269,HRANA
PIZZA MARGHERITA 310 g GG,90874905,GUSTAVO GUSTO,0.31 kg,ko,4.49,14.48,,4.49,4.49,4260414154430,HRANA
KREMA COREGA ALL 40 g,90885025,COREGA,0.04 kg,ko,,190.75,7.63,8.99,8.99,5054563209467,KOZMETIKA
TRETMAN SCHAUMA LONG HAIR 300 ml,90885564,SCHAUMA,0.30 l,ko,,13.3,3.99,4.99,4.99,9000101750393,KOZMETIKA
SLAD KONTIKI MANGO 75 ml LEDO,90885986,LEDO,0.08 l,ko,0.99,13.2,,0.99,0.99,3850116066424,HRANA
KOMPOT ANANAS KOL 565/340 g EXCELS,90886671,EXCELSIOR,0.34 kg,ko,2.49,7.32,,2.49,2.49,9001397508217,HRANA
KRUH GAZDIN REZANI 500 g,90887434,MARICA PEKARICA,0.50 kg,ko,1.29,2.58,,1.29,1.29,3859894042118,HRANA
VEGETA SMOKED 200 g PODRAVKA,90890326,VEGETA,0.20 kg,ko,2.19,10.95,,2.19,2.19,3856020276669,HRANA
DRESSING FRANCH 350 ml THOMY,90890360,THOMY,0.35 l,ko,3.99,11.4,,3.99,3.99,8445291866164,HRANA
BOJA PALETTE DLX 4-6 SM KAVA,90899871,PALETTE,1.00 ko,ko,5.99,5.99,,5.99,5.99,9000101736748,KOZMETIKA
KOLAČ MAĐARICA NOUGAT 400 g MLINAR,90889715,MLINAR,0.40 kg,ko,7.49,18.73,,5.99,7.49,3856028407911,HRANA
ORAH KIFLICE 300 g FANOLA,90889821,FANOLA,0.30 kg,ko,3.69,12.3,,2.49,3.69,3859888257085,HRANA
STICK AXE KEN BL LAV 50 ml,90889922,AXE,0.25 l,ko,,16.44,4.11,5.49,5.49,59002161,KOZMETIKA
ČOKOLADA MILKA ALPSKA 190 g,90889935,MILKA,0.19 kg,ko,4.49,23.63,,4.49,4.49,7622202305658,HRANA
NEKTAR MULTIVITAMIN TO 1 L,90889996,TO,1.00 l,ko,1.59,1.59,,1.29,1.59,3858890975512,PIĆE
