naziv;¹ifra;marka;neto kolièina;jedinica mjere;MPC;cijena za jedinicu mjere;MPC za vrijeme posebnog oblika prodaje;Najni¾a cijena u posljednjih 30 dana;datum sidrene cijene;sidrena cijena na 2.5.2025.;barkod;kategorija proizvoda
ÈOK.CASALI BANANE 300 g;4720;Manner;0.3000;kg;4.59;15.30;;;02.05.2025;4.59;9000332812822;Hrana
ZAÈIN ORIGANO ©AFRAM 5g;4746;;0.0050;kg;0.49;98.00;;;02.05.2025;.47;3859888163140;Hrana
ZAÈ.BILJ.LOVOR LIST ©AFRAM 50g;4750;Safram;0.0500;kg;2.49;49.80;;;02.05.2025;2.52;3859890104162;Hrana
LOSION OLD SP.WHITEWAT.100 ml;4754;Old Spice;0.1000;L;;61.90;6.19;7.79;02.05.2025;7.79;5000174440256;Kozmetika
ZAÈ.BILJ.LOVOR LIST ©AFRAM 10g;4756;;0.0100;kg;.79;79.00;;;02.05.2025;.79;3859888163690;Hrana
ZAÈIN MJ.FI© BLAGI ©AFRAM 90g;4763;;0.0900;kg;1.32;14.67;;;02.05.2025;1.32;3859888163126;Hrana
ZAÈIN MJ.FI© LJUTI ©AFRAM 90g;4771;Safram;0.0900;kg;1.32;14.67;;;02.05.2025;1.32;3859890104223;Hrana
VOSAK ÈUPKO MED 270 g;4794;Cupko;0.2700;kg;4.51;16.70;;;02.05.2025;4.51;3859888495081;Kozmetika
VOSAK ÈUPKO ZA TOPLU DEP.100 g;4816;Cupko;0.1000;kg;4.99;49.90;;;02.05.2025;4.99;3859888495005;Kozmetika
TRAKE ZA DEPILACIJU ÈUPKO 16/1;4831;Cupko;16.0000;kom;4.11;0.26;;;02.05.2025;4.11;3859888495029;Kozmetika
TRAKE ZA DEPILA.LICA ÈUP 16/1;4835;Cupko;16.0000;kom;3.86;0.24;;;02.05.2025;3.86;3859888495074;Kozmetika
TRAKE BEZ VOSKA ÈUPKO 20/1;4838;Cupko;20.0000;kom;1.99;0.10;;;02.05.2025;2.18;3859888495128;Kozmetika
ÈOKOLADA BOUNTY 57 g;4859;Bounty;0.0570;kg;1.39;24.39;;;02.05.2025;1.39;5000159557771;Hrana
ZAÈ.PAPAR CRNI ZRN.©AFRAM 50 g;4874;Safram;0.0500;kg;2.25;45.00;;;02.05.2025;2.25;3859888163119;Hrana
INDIJSKI ORAH NATURA 150 g;4915;Natura;0.1500;kg;4.24;28.27;;;02.05.2025;4.24;3859890587224;Hrana
ZAÈIN PAPAR BIJ.MLJ.©AFRAM 20g;4942;Safram;0.0200;kg;1.25;62.50;;;02.05.2025;1.25;3859888163836;Hrana
ZAÈ.PAPAR CRN.MLJ.©AFRAM 100 g;4953;Safram;0.1000;kg;2.91;29.10;;;02.05.2025;2.91;3859888163034;Hrana
MAK MLJEVENI NATURA 200 g;4956;Marjan Voce;0.2000;kg;2.19;10.95;;;02.05.2025;2.12;3859890587354;Hrana
ZAÈ.PAPAR CRNI MLJ.©AFRAM 50 g;4958;Safram;0.0500;kg;1.89;37.80;;;02.05.2025;1.89;3859888163089;Hrana
ZAÈIN PAPAR CRN.MLJ.©AFRAM 10g;4963;;0.0100;kg;.59;59.00;;;02.05.2025;.59;3859888163096;Hrana
ÈOKOLADA MILKY WAY MILK 21,5 g;4967;Milky Way;0.0220;kg;0.79;35.91;;;02.05.2025;0.79;5000159550567;Hrana
ZAÈIN PAPRIKA MLJEV.©AFRAM 25g;4968;;0.0250;kg;0.86;34.40;;;02.05.2025;0.86;3859888163256;Hrana
ZAÈ.PAPRIKA LJUTA ©AFRAM 500 g;4983;;0.5000;kg;7.96;15.92;;;02.05.2025;7.96;3859890104124;Hrana
ZAÈ.PAPRIKA MLJE.©AFRAM 100 g;4995;Safram;0.1000;kg;1.79;17.90;;;02.05.2025;1.79;3859888163058;Hrana
ZAÈ.PAPRIKA SLATK.©AFRAM 500 g;5005;;0.5000;kg;7.96;15.92;;;02.05.2025;7.96;3859890104117;Hrana
ZAÈ.PAPRIKA SLAT.©AFRAM 200 g;5006;;0.2000;kg;3.31;16.55;;;02.05.2025;3.31;3859888163072;Hrana
ZAÈ.PAPRIKA SLAT.©AFRAM 100 g;5009;;0.1000;kg;1.79;17.90;;;02.05.2025;1.79;3859888163065;Hrana
ZAÈ.PAPRIKA DELIK.©AFRAM100 g;5011;;0.1000;kg;1.98;19.80;;;02.05.2025;1.98;3859888163317;Hrana
NIC NACS LORENZ KIKIRIKI 125 g;5012;Lorenz;0.1250;kg;;18.32;2.29;2.89;02.05.2025;2.89;4017100759000;Hrana
NAPOLITANKE JADRO 200 g;5014;Jadro;0.2000;kg;1.79;8.95;;;02.05.2025;1.79;3850102522484;Hrana
NAPOLITANKE JADRO 430 g;5015;Jadro;0.4300;kg;2.49;5.79;;2.49;02.05.2025;3.19;3850102522545;Hrana
NAPOLITANKE JADRO 860 g;5016;Jadro;0.8600;kg;4.99;5.80;;;02.05.2025;4.99;3850102522514;Hrana
PALENTA INSTANT ©AFRAM 450 g;5018;;0.4500;kg;1.19;2.64;;;02.05.2025;1.19;3859890104001;Hrana
NAPOLIT.JADRO KOK./ÈOK.430 g ;5019;Jadro;0.4300;kg;2.49;5.79;;2.49;02.05.2025;3.29;3850102522552;Hrana
CROISSANT 7 DAY S MINI 60 g;5041;7 Day's;0.0600;kg;0.91;15.17;;;02.05.2025;0.91;7622202215322;Hrana
TABL.ANITRA ZA VODOKOTLIÆ  1/1;5068;Anitra;1.0000;kom;2.19;2.19;;2.19;02.05.2025;2.19;8002030114452;Sredstva za èi¹æenje
ZAÈIN CIMET MLJEV.KOTANYI 45 g;5101;Kotanyi;0.0450;kg;2.99;66.44;;;02.05.2025;2.49;9001414040553;Hrana
ZAÈIN BOSILJAK KOTANYI 15 g;5112;;0.0150;kg;2.19;146.00;;;02.05.2025;1.98;9001414041819;Hrana
ZAÈ.MAJÈI.DU©.TIM.KOTANYI 19 g;5118;;0.0190;kg;2.19;115.26;;;02.05.2025;1.98;9001414040515;Hrana
ZAÈIN RU®MARIN KOTANYI 35 g;5121;;0.0350;kg;2.19;62.57;;;02.05.2025;1.98;9001414041871;Hrana
ZAÈ.MA®URAN USIT.KOTANYI 10 g;5126;;0.0100;kg;2.19;219.00;;;02.05.2025;1.98;9001414040287;Hrana
ZAÈ.PER©IN KOTANYI GAST.100 g;5148;Kotanyi;0.1000;kg;7.59;75.90;;;02.05.2025;6.99;9001414024560;Hrana
ZAÈ.ORIGANO MRV.KOTANYI 135 g;5151;Kotanyi;0.1350;kg;8.49;62.89;;;02.05.2025;8.49;9001414024539;Hrana
CROISSSANT 7 DAY S MIDI 60 g;5160;7 Day's;0.0600;kg;;9.83;0.59;0.85;02.05.2025;0.85;7622201388409;Hrana
ZAÈ.PAPAR ©ARENI KOTANYI 35 g ;5165;;0.0350;kg;4.49;128.29;;;02.05.2025;3.99;9001414041130;Hrana
CROISSANT 7DAY S FAMILY 185 g;5177;7 Day's;0.1850;kg;;8.05;1.49;2.65;02.05.2025;2.65;7622202215292;Hrana
CROIS.7DAYS FAMILY MILLFU.185g;5198;7 Day's;0.1850;kg;;8.05;1.49;2.65;02.05.2025;2.65;7622202215735;Hrana
ZAÈIN KIM ©AFRAM 10g;5328;;0.0100;kg;0.49;49.00;;;02.05.2025;.47;3859888163133;Hrana
ZAÈIN PER©IN SU©EN.©AFRAM 150g;5333;;0.1500;kg;3.49;23.27;;;02.05.2025;3.71;3859890104063;Hrana
SUHA ©LJIVA ©AFRAM 200 g;5346;Safram;0.2000;kg;2.49;12.45;;;02.05.2025;2.49;3859890104230;Hrana
ÈOKOLADNO JAJE KINDER JOY 20 g;5375;Ferrero;0.0200;kg;1.49;74.50;;;02.05.2025;1.49;80310891;Hrana
ÈOK.KINDER FERRERO 50 g;5378;Ferrero;0.0500;kg;1.15;23.00;;;02.05.2025;1.15;80177609;Hrana
ÈOK.KINDER FERRERO 100 g;5383;Kinder;0.1000;kg;1.79;17.90;;;02.05.2025;1.79;80177616;Hrana
ZAÈIN CIMET U KORI ©AFRAM 20g;5390;;0.0200;kg;0.99;49.50;;;02.05.2025;0.99;3859890104261;Hrana
ÈOK.KINDER COUNTRY 23,5 g;5394;Ferrero;0.2350;kg;0.79;3.36;;;02.05.2025;0.79;40084176;Hrana
ÈOK.KINDER BUENO 43 g;5396;Kinder;0.0430;kg;1.19;27.67;;;02.05.2025;1.19;80052760;Hrana
ZAÈIN KLINÈIÆ CIJEL.©AFRAM 20g;5398;Safram;0.0200;kg;1.19;59.50;;;02.05.2025;1.45;3859890104247;Hrana
ZAÈIN ÈE©NJAK GRANU.©AFRAM 30g;5404;;0.0300;kg;.79;26.33;;;02.05.2025;.79;3859888163270;Hrana
RAFFAELLO T-15 FERRERO 150 g;5416;Ferrero;0.1500;kg;3.99;26.60;;;02.05.2025;3.99;8000500023976;Hrana
RAFFAELLO FERRERO 40 g;5420;Ferrero;0.0400;kg;1.29;32.25;;;02.05.2025;1.29;5413548040639;Hrana
MLIJEKO UHT 3,5% ALPSKO 1 L;5521;Ljubljanske Mlekarne;1.0000;L;1.69;1.69;;;02.05.2025;1.69;3838800040578;Hrana
SPREJ GLADE RELAXING Z.300 ml;5549;Glade;0.3000;L;3.69;12.30;;;02.05.2025;3.69;3858895411046;Sredstva za èi¹æenje
ROCHER T16 FERRERO 200 g;5563;Ferrero;0.2000;kg;6.49;32.45;;;02.05.2025;6.49;8000500003787;Hrana
RI®A ©AFRAM DUGO ZRNO 950g;5574;;0.9500;kg;2.65;2.79;;;02.05.2025;2.65;3859888163676;Hrana
ZAÈIN PER©IN SU©ENI ©AFRAM 7g;5581;;0.0070;kg;0.49;70.00;;;02.05.2025;.6;3859888163263;Hrana
ORAH MLJEVENI ©AFRAM 200 g;5587;Safram;0.2000;kg;3.49;17.45;;;02.05.2025;3.49;3859890104216;Hrana
©EÆER MLJEVENI ©AFRAM 200 g;5596;Safram;0.2000;kg;0.89;4.45;;;02.05.2025;0.89;3859888163669;Hrana
ZAÈIN CIMET MLJEVEN.©AFRAM 10g;5611;;0.0100;kg;0.49;49.00;;;02.05.2025;.52;3859888163300;Hrana
SUHO GRO®ÐE ©AFRAM 200 g;5615;;0.2000;kg;1.29;6.45;;;02.05.2025;1.29;3859888163683;Hrana
ÈOKOLADA DUPLO FERRERO 26 g;5621;Ferrero;0.0260;kg;0.85;32.69;;;02.05.2025;0.85;80052357;Hrana
ZAÈ.PAPAR CR.ZRN.KOTANYI 50 g;5623;;0.0500;kg;3.99;79.80;;;02.05.2025;3.44;9001414040393;Hrana
REFIL GLADE MICROSPRAY 10 ml;5633;Glade;1.0000;kom;5.79;5.79;;;02.05.2025;5.79;5000204651010;Sredstva za èi¹æenje
GEL GLADE LJUBI.I LAVAND.150 g;5638;Glade;0.1500;kg;2.69;17.93;;;02.05.2025;2.69;5000204306910;Sredstva za èi¹æenje
ZAÈ.ORIGANO USIT.KOTANYI 12 g;5640;;0.0120;kg;2.19;182.50;;;02.05.2025;1.98;9001414040348;Hrana
GEL GLADE RELAXING ZEN 150 g;5645;Glade;0.1500;kg;2.69;17.93;;;02.05.2025;2.69;5000204306941;Sredstva za èi¹æenje
ZAÈIN PER©IN KOTANYI 7 g ;5650;;0.0070;kg;2.19;312.86;;;02.05.2025;1.98;9001414040386;Hrana
GEL GLADE ÐURÐICA 150 g;5651;Glade;0.1500;kg;2.69;17.93;;;02.05.2025;2.69;5000204306972;Sredstva za èi¹æenje
PRAL.POCKET COFFEE FERR.62,5 g;5661;Ferrero;0.0625;kg;1.79;28.64;;;02.05.2025;1.79;80135944;Hrana
ZAÈ.CHIL.KOTANYI STAKLO 50 g;5665;Kotanyi;0.0500;kg;1.34;26.80;;;02.05.2025;2.09;9001414040102;Hrana
ZAÈ.LUK GRANULE KOTANYI 40 g;5672;Kotanyi;0.0400;kg;2.39;59.75;;;02.05.2025;2.09;9001414040577;Hrana
PRALINE MON CHERI FERR.157,5 g;5676;Ferrero;0.1580;kg;4.59;29.05;;;02.05.2025;4.59;4008400102528;Hrana
ZAÈIN BOSILJAK MRVL.KOTANYI 9g;5678;;0.0090;kg;0.99;110.00;;;02.05.2025;0.99;9001414018002;Hrana
ZAÈ.MEDITERANSKA MJE©.KOT.25 g;5682;Kotanyi;0.0250;kg;2.19;87.60;;;02.05.2025;1.98;9001414040676;Hrana
ZAÈ.VANILIJA BURBON KOTANYI ;5688;Kotanyi;0.0030;kg;5.97;1990.00;;;02.05.2025;5.97;9001414030004;Hrana
KAKAO U PRAHU KANDIT 100 g ;5694;Kandit;0.1000;kg;;17.90;1.79;3.09;02.05.2025;3.09;3858881044012;Piæa
ZAÈ.PAPAR-ÈE©NJA.KOTANYI 70 g;5696;;0.0700;kg;3.99;57.00;;;02.05.2025;3.44;9001414040799;Hrana
ZAÈ.PAPAR BIJ.MLJ.KOTANYI 54 g;5701;Kotanyi;0.0540;kg;3.99;73.89;;;02.05.2025;3.44;9001414040423;Hrana
ÈOKOLADA U PRAHU KANDIT 100 g;5707;Kandit;0.1000;kg;;17.90;1.79;2.89;02.05.2025;2.89;3858881044043;Piæa
ZAÈ.MJE©.S PAPROM KOTAN.60 g;5709;;0.0600;kg;3.99;66.50;;;02.05.2025;3.44;9001414040669;Hrana
ZAÈIN KOTANYI PEPERONCINI 15 g;5716;Kotanyi;0.0150;kg;2.49;166.00;;;02.05.2025;2.49;9001414040058;Hrana
BOMBONI CONFETTINO DRA®E 30 g;5717;Kandit;0.0300;kg;0.99;33.00;;;02.05.2025;0.99;3858881042858;Hrana
®ELE NARESCI KANDIT 100 g;5721;Kandit;0.1000;kg;0.93;9.30;;;02.05.2025;0.93;3858881044517;Hrana
ZAÈ.SOL KOTANYI STAKLO 135 g ;5723;Kotanyi;0.1350;kg;1.39;10.30;;;02.05.2025;1.32;9001414040522;Hrana
ZAÈIN  VLASAC  KOTANYI 6 g;5727;;0.0060;kg;2.19;365.00;;;02.05.2025;1.98;9001414040508;Hrana
SRE.MR.MUSCLE VODOINS.GEL 1 L;5741;Mr.Muscle;1.0000;L;7.29;7.29;;;02.05.2025;7.29;5000204275711;Sredstva za èi¹æenje
SRE.MR.MUSCLE ZA KUHINJ.500 ml;5749;Mr.Muscle;0.5000;L;3.79;7.58;;;02.05.2025;3.79;5000204141672;Sredstva za èi¹æenje
ZAÈIN MEDENJACI KOTANYI 27 g;5770;;0.0270;kg;1.39;51.48;;;02.05.2025;1.19;9001414015223;Hrana
ANIS CIJELI KOTANYI 41 g;5772;Kotanyi;0.0410;kg;3.29;80.24;;;02.05.2025;2.99;9001414040010;Hrana
ZAÈIN KUHANO VINO KOTANYI 35 g;5773;Kotanyi;0.0350;kg;1.39;39.71;;;02.05.2025;1.19;9001414017982;Hrana
ZAÈ.PAPA.KAJENSKI KOTANYI 38 g;5788;Kotanyi;0.0380;kg;2.39;62.89;;;02.05.2025;2.09;9001414040089;Hrana
ODSTR.BIOSHOUT ZA MRLJE 500 ml;5798;Bioshout;0.5000;L;3.69;7.38;;;02.05.2025;3.69;5000204350845;Sredstva za èi¹æenje
ZAÈIN MU©K.ORAH KOTANYI 50 g;5808;;0.0500;kg;4.99;99.80;;;02.05.2025;4.49;9001414040300;Hrana
SRE.PRONTO LEGNO PULITO 750 ml;5810;Pronto;0.7500;L;4.85;6.47;;;02.05.2025;4.85;5000204604542;Sredstva za èi¹æenje
ZAÈ.CURRY KOTANYI STAKLO 50 g;5812;Kotanyi;0.0500;kg;3.29;65.80;;;02.05.2025;2.99;9001414040119;Hrana
BOMBONI NEGRO PIONIR 100 g;5827;Pionir;0.1000;kg;1.39;13.90;;;02.05.2025;1.39;8602300204137;Hrana
SPRA.CLASSIC PRONTO 300 ml ;5836;Pronto;0.3000;L;5.75;19.17;;;02.05.2025;5.75;5000204670967;Sredstva za èi¹æenje
KEKS PIKNIK KOESTLIN 460 g;5838;Koestlin;0.4600;kg;;4.33;1.99;2.19;02.05.2025;2.69;3858881090262;Hrana
ZAÈIN  ÐUMBIR  KOTANYI 38 g ;5842;Kotanyi;0.0380;kg;3.29;86.58;;;02.05.2025;2.99;9001414040201;Hrana
KEKS PETIT BEUR.KOESTLIN 460 g;5847;Koestlin;0.4600;kg;;4.98;2.29;2.59;02.05.2025;3.09;3858881090286;Hrana
GORU©ICA U ZRNU KOTANYI 79 g;5851;Kotanyi;0.0790;kg;3.29;41.65;;;02.05.2025;2.99;9001414040713;Hrana
ZAÈI.KLINÈIÆ CIJELI KOTA.30 g;5864;;0.0300;kg;3.29;109.67;;;02.05.2025;2.99;9001414040317;Hrana
SPREJ ANTI.PRONTO 300 ml;5866;Pronto;0.3000;L;4.25;14.17;;4.25;02.05.2025;4.25;5000204670905;Sredstva za èi¹æenje
KREMA ZA NAMJ.PRONTO 250 ml;5869;Pronto;0.2500;L;5.79;23.16;;;02.05.2025;5.79;5000204158373;Sredstva za èi¹æenje
MEDENO SRCE VI©NJ.PIONIR 150 g;5871;Pionir;0.1500;kg;1.99;13.27;;;02.05.2025;1.99;8602300206780;Hrana
MEDENO SRCE VI©NJA 350 g;5876;Pionir;0.3500;kg;4.19;11.97;;;02.05.2025;4.19;8602300206810;Hrana
ZAÈ.KOPAR KOTANYI STAKLO 16 g;5880;;0.0160;kg;1.98;123.75;;;02.05.2025;1.98;9001414040126;Hrana
MEDENO SRCE PIONIR 350 g;5882;Pionir;0.3500;kg;4.19;11.97;;;02.05.2025;4.19;8602300201631;Hrana
MEDENO SRCE PIONIR 150 g;5886;Pionir;0.1500;kg;1.99;13.27;;;02.05.2025;1.99;8602300236022;Hrana
ÈAJ SIR WINSTON EARL GREY 35 g;5899;Teekanne;0.0350;kg;2.39;68.29;;;02.05.2025;2.39;5901086050727;Piæa
ZAÈIN KORIJANDER KOTANYI 34 g;5903;Kotanyi;0.0340;kg;2.39;70.29;;;02.05.2025;2.09;9001414040270;Hrana
ÈAJ SIR WINSTON ZELENI 35 g;5904;Teekanne;0.0350;kg;2.39;68.29;;;02.05.2025;2.39;5901086052226;Piæa
ZAÈIN KIM CIJELI KOTANYI 50 g;5907;Kotanyi;0.0500;kg;2.09;41.80;;;02.05.2025;2.09;9001414040249;Hrana
ZAÈ.KURKUMA MLJE.KOTANYI 50 g;5912;Kotanyi;0.0500;kg;3.29;65.80;;;02.05.2025;2.99;9001414040171;Hrana
ZAÈIN MJ.PIZZA KOTANYI 30 g;5923;;0.0300;kg;2.39;79.67;;;02.05.2025;2.09;9001414040683;Hrana
SPR.RAID MUHE/KOMARCI 400 ml;5939;Raid;0.4000;L;4.59;11.48;;;02.05.2025;4.59;5000204342468;Proizvodi za kuæanstvo
EL.APARAT RAID LAMINIRA.TABL.;5944;Raid;1.0000;kom;10.49;10.49;;;02.05.2025;10.49;8002030140666;Proizvodi za kuæanstvo
TABLETE LAMINIRANE RAID 30/1;5947;Raid;30.0000;kom;4.89;0.16;;;02.05.2025;4.89;8002030140680;Proizvodi za kuæanstvo
SPIRALA RAID PRO.KOMARACA 10/1;5952;Raid;10.0000;kom;2.99;0.30;;;02.05.2025;2.99;3092830003648;Proizvodi za kuæanstvo
TARME CEDAR RAID PR.MOLJ.2/1;5972;Raid;2.0000;kom;5.19;2.60;;;02.05.2025;5.19;5000204304909;Proizvodi za kuæanstvo
T.RAID LAVANDA PR.MOLJACA 2/1;5975;Raid;2.0000;kom;5.19;2.60;;;02.05.2025;5.19;8711800118551;Proizvodi za kuæanstvo
LOSION OFF 100ml;5978;Off;0.1000;L;5.79;57.90;;;02.05.2025;5.79;8002030142974;Kozmetika
LOSION AUTAN FAMILY 100ml;5982;Autan;0.1000;L;7.99;79.90;;;02.05.2025;7.99;8002030142318;Kozmetika
SPRAY AUTAN FAMILY 100ml;6020;Autan;0.1000;L;7.69;76.90;;;02.05.2025;7.69;8002030142639;Kozmetika
ZAÈIN MJ.CURRY KOTANYI 27g;6023;;0.0270;kg;1.79;66.30;;;02.05.2025;1.69;9001414015094;Hrana
SPRAY OFF 100 ml;6038;Off;0.1000;L;5.59;55.90;;;02.05.2025;5.59;8002030114025;Kozmetika
ZAÈIN CHILI CON CARNE 25 g;6043;Kotanyi;0.0250;kg;1.79;71.60;;;02.05.2025;1.69;9001414010150;Hrana
TARME MULTIPACK RAID 5+1 ;6045;Raid;5.0000;kom;10.45;2.09;;;02.05.2025;10.45;5000204304961;Proizvodi za kuæanstvo
Banana;6081;;1.0000;kg;1.44;1.44;;;02.05.2025;1.44;3858885879986;Hrana
Limun rfs;6089;Eigenbedarf;1.0000;kg;1.49;1.49;;;02.05.2025;1.49;3858885878071;Hrana
Naranèa rfs;6100;Eigenbedarf;1.0000;kg;1.49;1.49;;;02.05.2025;1.49;3858893252542;Hrana
Grejp crveni rfs;6128;;1.0000;kg;1.89;1.89;;;02.05.2025;1.79;3858885879009;Hrana
Klementina rfs;6140;;1.0000;kg;1.89;1.89;;;02.05.2025;1.79;862;Hrana
TORTILLA ÈIPS NATURAL 200 g;6148;;0.2000;kg;2.39;11.95;;;02.05.2025;2.39;5412514934842;Hrana
Kru¹ka Abata rfs;6149;;1.0000;kg;2.39;2.39;;;02.05.2025;2.09;3858885876589;Hrana
TORTILLA ÈIPS CHILLI 200 g;6151;;0.2000;kg;2.39;11.95;;;02.05.2025;2.39;5412514934927;Hrana
Kru¹ka mlada rfs;6153;;1.0000;kg;1.99;1.99;;;02.05.2025;1.99;3858893251590;Hrana
TORTILLA ÈIPS SIR 200 g;6155;;0.2000;kg;2.39;11.95;;;02.05.2025;2.39;5412514934897;Hrana
Kru¹ka Williams rfs;6158;;1.0000;kg;1.99;1.99;;;02.05.2025;1.39;3858893251606;Hrana
KARAMELA LJE©NJAK PIONIR 100 g;6161;Pionir;0.1000;kg;1.69;16.90;;;02.05.2025;1.69;8602300207305;Hrana
KAVA ESPRESSO ILLY 250 g ;6164;Illy;0.2500;kg;10.29;41.16;;;02.05.2025;10.29;8003753900438;Piæa
Gro¾ðe rose rfs;6222;;1.0000;kg;3.99;3.99;;;02.05.2025;3.99;3858885878873;Hrana
ZAÈIN LOVOR LIST KOTANYI 5g;6394;;0.0050;kg;0.99;198.00;;;02.05.2025;0.99;9001414015346;Hrana
KA©ICA HIPP PILE.POV.TJE.220 g;6421;Hipp;0.2200;kg;2.12;9.64;;;02.05.2025;2.12;9062300103448;Hrana
KA©ICA HIPP PURETINA 220 g;6426;Hipp;0.2200;kg;2.05;9.32;;;02.05.2025;2.05;9062300103493;Hrana
ZAÈ.BILJ.VLASAC KOTANYI 5g;6428;;0.0050;kg;0.99;198.00;;;02.05.2025;0.99;9001414015568;Hrana
KA©ICA HIPP TELE.TJE.RAJ.220 g;6432;Hipp;0.2200;kg;2.12;9.64;;;02.05.2025;2.12;9062300103547;Hrana
ZAÈIN ©AFRAN KOTANYI 12 g;6433;Kotanyi;0.0120;kg;2.39;199.17;;;02.05.2025;2.19;9001414010082;Hrana
ZAÈIN RU®MARIN KOTANYI 24g;6437;;0.0240;kg;0.99;41.25;;;02.05.2025;0.99;9001414018088;Hrana
ZAÈIN MJ.PROVANSALSKO 17g;6443;;0.0170;kg;0.99;58.24;;;02.05.2025;0.99;9001414015865;Hrana
KA©ICA HIPP MLADO POVRÆE 190 g;6470;Hipp;0.1900;kg;1.96;10.32;;;02.05.2025;1.96;4062300020313;Hrana
ZAÈIN PER©IN KOTANYI 7g ;6487;;0.0070;kg;0.99;141.43;;;02.05.2025;0.99;9001414015445;Hrana
KA©ICA HIPP MLADA MRKV.125 g;6488;Hipp;0.1250;kg;1.23;9.84;;;02.05.2025;1.23;4062300020719;Hrana
ZAÈ.PAPAR ZEL.ZR.KOTANYI 12 g;6496;;0.0120;kg;1.72;143.33;;;02.05.2025;1.72;9001414010075;Hrana
ZAÈ.PAPAR CRN.MLJ.KOTANYI 17 g;6505;;0.0170;kg;1.72;101.18;;;02.05.2025;1.72;9001414015469;Hrana
KA©ICA HIPP BROKULA RI®A 125 g;6506;Hipp;0.1250;kg;1.25;10.00;;;02.05.2025;1.25;9062300131144;Hrana
KA©ICA HIPP MLIJ. KEKS 190 g;6509;Hipp;0.1900;kg;1.68;8.84;;;02.05.2025;1.68;9062300133148;Hrana
KA©ICA HIPP ML.JAB.KRU©.190 g;6510;Hipp;0.1900;kg;1.68;8.84;;;02.05.2025;1.68;9062300133070;Hrana
ZAÈ.PAPAR BIJELI KOTANYI 17 g;6511;Kotanyi;0.0170;kg;1.72;101.18;;;02.05.2025;1.72;9001414015483;Hrana
ZAÈIN ORIGANO USIT.KOTANYI 8 g;6513;;0.0080;kg;0.99;123.75;;;02.05.2025;0.99;9001414015421;Hrana
KA©ICA HIPP GRIZ ÈOKOL.190 g;6514;Hipp;0.1900;kg;1.68;8.84;;;02.05.2025;1.68;9062300133117;Hrana
ZAÈIN MU©KAT ORA©.KOTANYI 18 g;6517;;0.0180;kg;2.39;132.78;;;02.05.2025;2.19;9001414015391;Hrana
KA©ICA HIPP BANANA RI®A 190 g;6518;Hipp;0.1900;kg;1.68;8.84;;;02.05.2025;1.68;9062300133025;Hrana
ZAÈIN MA®URAN KOTANYI 6g;6523;;0.0060;kg;0.99;165.00;;;02.05.2025;0.99;9001414015377;Hrana
KA©ICA HIPP PILET.POVRÆE 190 g;6529;Hipp;0.1900;kg;2.04;10.74;;;02.05.2025;2.04;9062300100959;Hrana
KA©ICA HIPP TEL.RI®A MRK.190 g;6533;Hipp;0.1900;kg;2.04;10.74;;;02.05.2025;2.04;9062300101093;Hrana
KA©ICA HIPP TELE.POVRÆE 190 g;6535;Hipp;0.1900;kg;2.04;10.74;;;02.05.2025;2.04;9062300132066;Hrana
ZAÈIN MAJÈINA D.KOTANYI 14g;6537;;0.0140;kg;0.99;70.71;;;02.05.2025;0.99;9001414015599;Hrana
ZAÈ.KORICA LIMUN.KOTANYI 14 g;6540;;0.0140;kg;0.99;70.71;;;02.05.2025;0.99;9001414016039;Hrana
ZAÈ.KLINÈIÆ MLJE.KOTANYI 20 g;6546;Kotanyi;0.0200;kg;2.19;109.50;;;02.05.2025;1.89;9001414015414;Hrana
KA©ICA HIPP ©LJIVA 125 g;6554;Hipp;0.1250;kg;1.15;9.20;;;02.05.2025;1.15;9062300106739;Hrana
ZAÈ.KOPAR USITNJ.KOTANYI 11 g;6563;;0.0110;kg;0.99;90.00;;;02.05.2025;0.99;9001414015100;Hrana
ZAÈ.KLINÈIÆ CIJELI KOTAN.18 g;6567;;0.0180;kg;2.19;121.67;;;02.05.2025;1.89;9001414015407;Hrana
KA©ICA HIPP BANANA BRES.190 g;6573;Hipp;0.1900;kg;1.67;8.79;;;02.05.2025;1.67;9062300134251;Hrana
ZAÈ.ÈE©NJAK GRAN.KOTANYI 28 g;6574;;0.0280;kg;1.39;49.64;;;02.05.2025;1.29;9001414015261;Hrana
KA©ICA HIPP KRU©KA JAB.125 g;6575;Hipp;0.1250;kg;1.24;9.92;;;02.05.2025;1.24;9062300138686;Hrana
ZAÈIN CIMET KORICA KOTANYI 17g;6578;;0.0170;kg;2.19;128.82;;;02.05.2025;1.29;9001414015643;Hrana
KA©ICA HIPP BRESKVA 190 g;6579;Hipp;0.1900;kg;1.67;8.79;;;02.05.2025;1.67;9062300000358;Hrana
KA©ICA HIPP MARELICA 190 g;6580;Hipp;0.1900;kg;1.65;8.68;;;02.05.2025;1.65;9062300101680;Hrana
ZAÈ.CIMET MLJEVEN.KOTANYI 25 g;6581;Kotanyi;0.0250;kg;1.39;55.60;;;02.05.2025;1.29;9001414015650;Hrana
ZAÈIN MJ.SALATA KOTANYI 16g;6586;;0.0160;kg;1.19;74.38;;;02.05.2025;0.99;9001414016022;Hrana
ZAÈ.SAVIJAÈA OD JABUKA 26 g;6603;;0.0260;kg;1.39;53.46;;;02.05.2025;1.19;9001414015933;Hrana
